Block Type,96well,,
Chemistry,TAQMAN,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,
Instrument Type,steponeplus,,
Passive Reference,ROX,,
,,,
Well,Cycle,FAM,ROX
F3,6,10522.24707,30554.27148
F4,6,8733.881836,26851.27344
F5,6,9203.182617,22603.28906
F6,6,9998.923828,22999.75391
F7,6,8692.254883,21793.32813
F8,6,12966.80273,36336.89063
F9,6,11794.14844,34679.73828
F10,6,9331.496094,22631.41797
F11,6,8551.624023,21056.6543
F12,6,8580.107422,20023.59766
G1,6,7264.836426,18683.08984
G2,6,8198.875977,20829.41406
G3,6,10686.50195,24292.88477
G4,6,11462.27344,33379.22656
G5,6,11489.95605,34413.27734
G6,6,9723.375,22312.4082
G7,6,8366.066406,20873.81836
G8,6,11080.43848,32208.14648
G9,6,11051.12793,32447.24023
G10,6,7785.957031,19306.76367
G11,6,7479.565918,19237.75781
G12,6,8859.887695,20425.00781
H1,6,5730.225098,15758.08398
H2,6,7858.640625,20524.76172
H3,6,9753.698242,23189.4668
H4,6,10266.57422,30836.82813
H5,6,11436.50391,34673.30078
H6,6,9625.862305,22798.04297
H7,6,7833.573242,20061.90625
H8,6,10284.16211,30476.74609
H9,6,10460.39648,31758.39648
H10,6,7931.09082,19510.50586
H11,6,5535.423828,14878.95117
H12,6,7769.437012,18560.47461
A1,7,8011.845215,20261.41016
A2,7,15792.64844,35500.82813
A3,7,9936.084961,28643.20508
A4,7,10775.95703,31539.79688
A5,7,8629.160156,21056.02148
A6,7,9470.452148,21857.33594
A7,7,8683.053711,26940.50977
A8,7,11030.06348,32035.33203
A9,7,9453.614258,28324.10352
A10,7,8120.282227,20001.61523
A11,7,7937.647949,18522.25
A12,7,7740.273926,18492.27734
B1,7,8003.118164,20153.50781
B2,7,8861.750977,22602.98633
B3,7,11093.48828,31646.63086
B4,7,10759.06543,31553.8418
B5,7,8604.873047,20449.47656
B6,7,10156.81543,22981.18555
B7,7,9316.09375,28455.96289
B8,7,10530.38965,31103.00586
B9,7,10531.85254,30385.51563
B10,7,8860.350586,21617.25781
B11,7,8146.165039,19767.50586
B12,7,9428.319336,21401.86719
C1,7,9198.817383,21747.45117
C2,7,8508.182617,21558.34766
C3,7,11407.44238,32599.08789
C4,7,12157.4502,35241.57813
C5,7,9755.041016,22991.57031
C6,7,12849.50098,28681.64453
C7,7,9034.628906,22374.72266
C8,7,11523.66797,33557.09766
C9,7,10762.41309,30403.8125
C10,7,9137.943359,21880.39258
C11,7,8037.818848,19797.77734
C12,7,10234.06152,22941.99023
D1,7,9334.813477,21805.79492
D2,7,8676.219727,21787.91406
D3,7,10586.9834,30768.88281
D4,7,10380.59277,30993.32422
D5,7,9590.756836,22684.18945
D6,7,9460.103516,22512.2832
D7,7,7006.182617,17938.47656
D8,7,11455.90723,33282.44141
D9,7,11431.74609,32743.49023
D10,7,8847.22168,21381.48438
D11,7,7366.645996,18571.87891
D12,7,10375.04492,23280.625
E1,7,8955.270508,21466
E2,7,8274.907227,20745.28516
E3,7,10234.00586,29956.58008
E4,7,13424.22949,38037.58984
E5,7,10311.94629,24885.70117
E6,7,9541.183594,21901.78711
E7,7,6024.805664,16147.20898
E8,7,11805.15723,33324.21094
E9,7,10681.9502,31104.10352
E10,7,8485.5,20678.39258
E11,7,8155.824707,20111.58984
