Block Type,96well,,,
Chemistry,TAQMAN,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,
Instrument Type,steponeplus,,,
Passive Reference,ROX,,,
,,,,
Well,Cycle,Target Name,Rn,?Rn
A10,31,BRK2,0.485600233,0.066786475
A10,32,BRK2,0.549088359,0.129744247
A10,33,BRK2,0.663242519,0.243368059
A10,34,BRK2,0.8570503,0.436645508
A10,35,BRK2,1.14907074,0.728135586
A10,36,BRK2,1.524271965,1.102806449
A10,37,BRK2,1.938308954,1.516313076
A10,38,BRK2,2.339750528,1.917224288
A10,39,BRK2,2.693299294,2.270242691
A10,40,BRK2,2.977736235,2.554149389
A11,1,BRK2,0.420197308,-0.004314806
A11,2,BRK2,0.423416376,-0.00174005
A11,3,BRK2,0.425166965,-0.000633773
A11,4,BRK2,0.425601751,-0.000843299
A11,5,BRK2,0.427576095,0.000486734
A11,6,BRK2,0.427417368,-0.000316305
A11,7,BRK2,0.428546637,0.000168653
A11,8,BRK2,0.428910315,-0.000111981
A11,9,BRK2,0.430092096,0.000425489
A11,10,BRK2,0.43100962,0.000698702
A11,11,BRK2,0.431635737,0.000680507
A11,12,BRK2,0.432628036,0.001028494
A11,13,BRK2,0.433207661,0.000963807
A11,14,BRK2,0.434163183,0.001275018
A11,15,BRK2,0.434357733,0.000825256
A11,16,BRK2,0.434473902,0.000297114
A11,17,BRK2,0.434518754,-0.000302346
A11,18,BRK2,0.434602052,-0.00086336
A11,19,BRK2,0.434559941,-0.001549782
A11,20,BRK2,0.436067104,-0.00068693
A11,21,BRK2,0.436238676,-0.00115967
A11,22,BRK2,0.436561286,-0.001481372
A11,23,BRK2,0.437326223,-0.001360747
A11,24,BRK2,0.437597722,-0.001733559
A11,25,BRK2,0.438894778,-0.001080814
A11,26,BRK2,0.440057635,-0.000562269
A11,27,BRK2,0.443036705,0.001772489
A11,28,BRK2,0.445972472,0.004063945
A11,29,BRK2,0.453385323,0.010832484
A11,30,BRK2,0.466324806,0.023127655
A11,31,BRK2,0.490339637,0.046498176
A11,32,BRK2,0.534211934,0.089726157
A11,33,BRK2,0.618174434,0.173044354
A11,34,BRK2,0.766848981,0.321074575
A11,35,BRK2,1.003753662,0.55733496
A11,36,BRK2,1.344544291,0.897481263
A11,37,BRK2,1.755749345,1.308042049
A11,38,BRK2,2.18157649,1.733224869
A11,39,BRK2,2.576534748,2.127538681
A11,40,BRK2,2.91523242,2.465592146
A12,1,BRK2,0.407093316,-0.008541055
A12,2,BRK2,0.411970705,-0.00404881
A12,3,BRK2,0.413131505,-0.003273153
A12,4,BRK2,0.416249067,-0.000540735
A12,5,BRK2,0.417058438,-0.000116507
A12,6,BRK2,0.418110728,0.00055064
A12,7,BRK2,0.418567926,0.000622694
A12,8,BRK2,0.419188082,0.000857707
A12,9,BRK2,0.419394165,0.000678646
A12,10,BRK2,0.419943929,0.000843266
A12,11,BRK2,0.420047879,0.000562073
A12,12,BRK2,0.419625968,-0.000244981
A12,13,BRK2,0.420829445,0.000573353
A12,14,BRK2,0.42106384,0.000422604
A12,15,BRK2,0.420358866,-0.000667513
A12,16,BRK2,0.421320796,-9.07267E-05
A12,17,BRK2,0.42167756,-0.000119106
A12,18,BRK2,0.42249015,0.00030834
A12,19,BRK2,0.423020154,0.000453201
A12,20,BRK2,0.422969222,1.71258E-05
A12,21,BRK2,0.423845679,0.000508439
A12,22,BRK2,0.423780978,5.85947E-05
A12,23,BRK2,0.423781544,-0.000325982
A12,24,BRK2,0.42457673,8.40597E-05
A12,25,BRK2,0.425250262,0.000372449
A12,26,BRK2,0.425169826,-9.31311E-05
A12,27,BRK2,0.425487727,-0.000160373
A12,28,BRK2,0.425731182,-0.000302061
A12,29,BRK2,0.426727831,0.000309445
A12,30,BRK2,0.427051544,0.000248014
A12,31,BRK2,0.426953644,-0.00023503
A12,32,BRK2,0.427828163,0.000254346
A12,33,BRK2,0.427183807,-0.000775154
A12,34,BRK2,0.427844465,-0.000499639
A12,35,BRK2,0.428560227,-0.00016902
A12,36,BRK2,0.42903018,-8.42106E-05
A12,37,BRK2,0.429047406,-0.000452128
A12,38,BRK2,0.43017754,0.000292862
A12,39,BRK2,0.430401415,0.000131594
A12,40,BRK2,0.430874914,0.00021995
B1,1,BRK2,0.388974994,-0.0034492
B1,2,BRK2,0.390931189,-0.002288239
B1,3,BRK2,0.394936323,0.000921661
B1,4,BRK2,0.395953476,0.001143581
B1,5,BRK2,0.396699011,0.001093882
B1,6,BRK2,0.39794749,0.001547127
B1,7,BRK2,0.397107959,-8.76386E-05
B1,8,BRK2,0.398620129,0.000629297
B1,9,BRK2,0.398662746,-0.000123319
B1,10,BRK2,0.399048448,-0.000532851
B1,11,BRK2,0.399808794,-0.000567739
B1,12,BRK2,0.400627583,-0.000544184
B1,13,BRK2,0.401978076,1.10747E-05
B1,14,BRK2,0.402396947,-0.000365288
B1,15,BRK2,0.40330264,-0.000254829
B1,16,BRK2,0.403428286,-0.000924416
B1,17,BRK2,0.404493392,-0.000654545
B1,18,BRK2,0.405192286,-0.000750885
B1,19,BRK2,0.406423569,-0.000314835
B1,20,BRK2,0.405882686,-0.001650952
B1,21,BRK2,0.407143146,-0.001185726
B1,22,BRK2,0.407474488,-0.001649618
B1,23,BRK2,0.40841046,-0.00150888
B1,24,BRK2,0.409901261,-0.000813312
B1,25,BRK2,0.411118269,-0.000391539
B1,26,BRK2,0.412323445,1.84036E-05
B1,27,BRK2,0.413666487,0.000566211
B1,28,BRK2,0.414269716,0.000374206
B1,29,BRK2,0.416255474,0.001564731
B1,30,BRK2,0.419936359,0.004450382
B1,31,BRK2,0.425391167,0.009109956
B1,32,BRK2,0.436272085,0.01919564
B1,33,BRK2,0.458431184,0.040559504
B1,34,BRK2,0.498293519,0.079626605
B1,35,BRK2,0.572314382,0.152852237
B1,36,BRK2,0.703904271,0.283646882
B1,37,BRK2,0.916955531,0.495902926
B1,38,BRK2,1.227306247,0.805458426
B1,39,BRK2,1.606142402,1.183499336
B1,40,BRK2,2.022489071,1.59905076
B2,1,BRK2,0.389468372,0.001617947
B2,2,BRK2,0.389676541,0.001171812
B2,3,BRK2,0.389986008,0.000826975
B2,4,BRK2,0.390433967,0.000620629
B2,5,BRK2,0.390653193,0.00018555
B2,6,BRK2,0.391610801,0.000488854
B2,7,BRK2,0.392061055,0.000284803
B2,8,BRK2,0.392384589,-4.5968E-05
B2,9,BRK2,0.392962575,-0.000122286
B2,10,BRK2,0.393855244,0.000116078
B2,11,BRK2,0.39436698,-2.6491E-05
B2,12,BRK2,0.39475143,-0.000296346
B2,13,BRK2,0.395768166,6.60858E-05
B2,14,BRK2,0.396302581,-5.38036E-05
B2,15,BRK2,0.397390783,0.000380094
B2,16,BRK2,0.396984369,-0.000680625
B2,17,BRK2,0.397503734,-0.000815565
B2,18,BRK2,0.398209482,-0.00076412
B2,19,BRK2,0.399145991,-0.000481917
B2,20,BRK2,0.399790019,-0.000492193
B2,21,BRK2,0.400076807,-0.00085971
B2,22,BRK2,0.400684893,-0.000905928
B2,23,BRK2,0.401007444,-0.001237682
B2,24,BRK2,0.401956528,-0.000942902
B2,25,BRK2,0.402755916,-0.000797819
B2,26,BRK2,0.404329658,0.000121618
B2,27,BRK2,0.406074107,0.001211762
B2,28,BRK2,0.409737557,0.004220908
B2,29,BRK2,0.415865421,0.009694468
B2,30,BRK2,0.427063406,0.020238148
B2,31,BRK2,0.448921084,0.041441523
B2,32,BRK2,0.489392638,0.081258774
B2,33,BRK2,0.565634668,0.156846493
B2,34,BRK2,0.699926674,0.29048419
B2,35,BRK2,0.919338107,0.509241343
B2,36,BRK2,1.235216141,0.824465036
B2,37,BRK2,1.623727679,1.212322235
B2,38,BRK2,2.042319775,1.63026011
B2,39,BRK2,2.437124014,2.024410009
B2,40,BRK2,2.786629438,2.373261213
B3,1,BRK2,0.337826371,-0.004555861
B3,2,BRK2,0.340531349,-0.00322464
B3,3,BRK2,0.342564106,-0.00256564
B3,4,BRK2,0.345027447,-0.001476056
B3,5,BRK2,0.346546233,-0.001331027
B3,6,BRK2,0.349017203,-0.000233813
B3,7,BRK2,0.350542486,-8.22873E-05
B3,8,BRK2,0.352542847,0.000544318
B3,9,BRK2,0.354311317,0.000939031
B3,10,BRK2,0.355601221,0.000855178
B3,11,BRK2,0.356772125,0.000652325
B3,12,BRK2,0.358913571,0.001420014
B3,13,BRK2,0.359621167,0.000753854
B3,14,BRK2,0.361081332,0.000840262
B3,15,BRK2,0.363121033,0.001506206
B3,16,BRK2,0.363937348,0.000948764
B3,17,BRK2,0.364794225,0.000431884
B3,18,BRK2,0.366693974,0.000957876
B3,19,BRK2,0.367615551,0.000505696
B3,20,BRK2,0.369074166,0.000590555
B3,21,BRK2,0.370112866,0.000255498
B3,22,BRK2,0.371065378,-0.000165746
B3,23,BRK2,0.37217778,-0.000427102
